dealer,brand,name,price,year,url
webbs,Triumph,TRIUMPH TIGER SPORT 1050,7499,,https://webbsmotorcycles.co.uk/triumph-tiger-sport-1050-13040-2320/
webbs,Triumph,TRIUMPH TIGER SPORT 660,5999,,https://webbsmotorcycles.co.uk/triumph-tiger-sport-660-20123-2147/
webbs,Triumph,TRIUMPH TIGER SPORT 800,9495,,https://webbsmotorcycles.co.uk/triumph-tiger-sport-800-20123-1876/
webbs,Triumph,TRIUMPH TRACKER 400,5845,,https://webbsmotorcycles.co.uk/triumph-tracker-400-13040-2269/
webbs,Triumph,TRIUMPH TRACKER 400,5845,,https://webbsmotorcycles.co.uk/triumph-tracker-400-20123-2117/
webbs,Triumph,TRIUMPH TRACKER 400,5795,,https://webbsmotorcycles.co.uk/triumph-tracker-400-20123-1971/
webbs,Triumph,TRIUMPH TRACKER 400,5845,,https://webbsmotorcycles.co.uk/triumph-tracker-400-20123-1953/
webbs,Triumph,TRIUMPH TRIDENT 660,6799,,https://webbsmotorcycles.co.uk/triumph-trident-660-20123-2179/
webbs,Triumph,TRIUMPH TRIDENT 660,6499,,https://webbsmotorcycles.co.uk/triumph-trident-660-13040-2340/
webbs,Triumph,TRIUMPH TRIDENT 660,7945,,https://webbsmotorcycles.co.uk/triumph-trident-660-13040-2308/
webbs,Triumph,TRIUMPH TRIDENT 660,6999,,https://webbsmotorcycles.co.uk/triumph-trident-660-13040-2259/
webbs,Triumph,TRIUMPH TRIDENT 800,9195,,https://webbsmotorcycles.co.uk/triumph-trident-800-13040-2264/
webbs,Triumph,TRIUMPH TRIDENT 800,9195,,https://webbsmotorcycles.co.uk/triumph-trident-800-13040-2316/
webbs,Triumph,TRIUMPH TRIDENT 800,9195,,https://webbsmotorcycles.co.uk/triumph-trident-800-13040-2315/
webbs,Triumph,TRIUMPH TRIDENT 800,8199,,https://webbsmotorcycles.co.uk/triumph-trident-800-13040-2021/
webbs,Triumph,TRIUMPH TXP-12 (Off Road),1595,,https://webbsmotorcycles.co.uk/triumph-txp-12-off-road-13040-1931/
webbs,Triumph,TRIUMPH TXP-16 (Off Road),2295,,https://webbsmotorcycles.co.uk/triumph-txp-16-off-road-13040-1932/
webbs,Triumph,Triumph TXP-12 (off road),1595,,https://webbsmotorcycles.co.uk/triumph-txp-12-off-road-20123-1786/
webbs,Triumph,Triumph TXP-16 (off road),2295,,https://webbsmotorcycles.co.uk/triumph-txp-16-off-road-20123-1785/
webbs,Triumph,Triumph TXP-20 (off road),3195,,https://webbsmotorcycles.co.uk/triumph-txp-20-off-road-20123-1803/
webbs,Yamaha,YAMAHA FJR 1300 AS,6499,,https://webbsmotorcycles.co.uk/yamaha-fjr-1300-as-13040-2318/
webbs,Yamaha,YAMAHA TRACER 9,9999,,https://webbsmotorcycles.co.uk/yamaha-tracer-9-13040-2245/
webbs,Yamaha,YAMAHA TRACER 9 GT,9999,,https://webbsmotorcycles.co.uk/yamaha-tracer-9-gt-13040-2332/
webbs,Yamaha,YAMAHA YZF-R3,4999,,https://webbsmotorcycles.co.uk/yamaha-yzf-r3-13040-1890/
cmcbikes,Honda,NSS 350 A-P,4399,2023,
cmcbikes,BMW,F 850 GS Sport,7499,2020,
cmcbikes,Triumph,onnevilleSpeedmaster,8999,2021,
