lot_id,auction_id,sale_date,year,make,model,engine_cc,odometer,sold_price,hammer_price,lot_name
C0001339-1,263,2026-06-16,2010,Ducati,Sport Classic,992,,12075,10500,"2010 Ducati SportClassic Sport 1000S 992cc - 1,912 Miles"
REC16929-4,263,2026-06-16,1951,Vincent,Series C Black Shadow,998,,48300,42000,1951 Vincent Series C Black Shadow 998cc
REC16991-1,263,2026-06-16,2000,Ducati,916 Carl Fogarty Replica,996,,34500,30000,2000 Ducati 916 Carl Fogarty Replica 996cc
REC16991-3,263,2026-06-16,2008,Ducati,Desmosedici Rr,989,,67850,59000,2008 Ducati Desmosedici RR 989cc
REC17017-1,263,2026-06-16,2009,Bmw,Hp2 Sport,1170,,8050,7000,"2009 BMW HP2 Sport 1,170cc"
REC17044-1,263,2026-06-16,2005,Benelli,Tnt Titanium,1131,,8050,7000,"2005 Benelli TNT 1130 Titanium 1,130cc"
REC17086-1,263,2026-06-16,2017,Bmw,S1000Rr 'Tyko' Bsb Race Replica,999,,16100,14000,2017 BMW S1000RR 'Tyco' BSB Race Replica 999cc
REC17113-1,263,2026-06-16,2016,Godet Egli Vincent,Sport Gt,1330,,65550,57000,"2016 Godet Egli-Vincent Sport GT 1,330cc"
REC17132-2,263,2026-06-16,1928,Coventry Eagle,D44,350,,3680,3200,1928 Coventry-Eagle D44 350cc
REC17144-1,263,2026-06-17,1977,Yamaha,Rd400,398,,5175,4500,1977 Yamaha RD400D 398cc
REC17147-1,263,2026-06-17,1988,Harley Davidson,Tour Glide Classic Fltc 1340Cc,1340,,3795,3300,"1988 Harley-Davidson FLTC Tour Glide Classic 1,340cc"
REC17150-1,263,2026-06-17,1935,Montgomery,Greyhound Jap,498,,8625,7500,1935 Montgomery Greyhound JAP 498cc
REC17151-1,263,2026-06-17,1932,Norton,Model 1 Big Four,633,,5750,5000,1932 Norton Model 1 Big Four 633cc
REC17152-1,263,2026-06-17,1954,Triumph,T110 Tiger 110,649,,8050,7000,1954 Triumph T110 Tiger 110 649cc
REC17123-4,263,2026-06-19,2003,Honda,St1300A Pan European,1261,,690,600,"2003 Honda ST1300A Pan European 1,261cc"
REC17123-5,263,2026-06-19,1985,Honda,Cb750K,748,,690,600,1985 Honda CB750K 748cc
REC17171-1,263,2026-06-20,1961,Triumph,6T Thunderbird,649,,3450,3000,1961 Triumph 6T Thunderbird 649cc
REC17172-2,263,2026-06-21,1976,Mv Agusta,Gp Replica,48,,5980,5200,c.1976 MV Agusta 'GP' Replica Mini Bike 48cc
REC17173-1,263,2026-06-21,1958,Bmw,R69,594,,5750,5000,1958 BMW R69 594cc
REC17174-3,263,2026-06-22,1982,Ducati,Tt2 Race Replica,597,,8625,7500,c.1983 Ducati TT2 Race Replica 597cc
REC17130-10,263,2026-06-23,2023,Ducati,Street Fighter V4 Sp2,1103,,21275,18500,"2023 Ducati Street Fighter V4 SP2 #234 1,103cc"
REC17130-5,263,2026-06-23,2008,Harley Davidson,Soft Tail,1584,,8510,7400,"2008 Harley-Davidson Softail Deluxe 1,584cc"
REC17130-6,263,2026-06-23,1976,Kawasaki,Z900,903,,5750,5000,1976 Kawasaki Z900 903cc
REC17130-8,263,2026-06-23,2016,Ktm,690 Enduro,693,,5520,4800,2016 KTM 690 Enduro 693cc - 499 Miles
REC17130-9,263,2026-06-23,2021,Mv Agusta,Rush 1000,998,,20700,18000,2021 MV Agusta 'RUSH' 1000 #274/300 998cc
REC17181-1,263,2026-06-23,1929,Levis,A2,346,,3220,2800,1929 Levis A2 346cc
REC17192-1,263,2026-06-25,1975,Suzuki,T500,493,,5750,5000,1975 Suzuki T500 493cc
REC17192-2,263,2026-06-25,1971,Bsa,Firebird Scrambler,654,,4025,3500,1971 BSA A65FS Firebird Scrambler 654cc
REC17192-3,263,2026-06-25,1964,Bsa,Lightning Rocket,654,,4025,3500,1964 BSA A65 Lightning Rocket 654cc
REC17202-1,263,2026-06-27,1959,Capriolo,75,74,,1035,900,1959 Capriolo 75 74cc
REC17202-2,263,2026-06-27,1959,Mv Agusta,150,151,,460,400,1959 MV Agusta 150 151cc
REC17202-3,263,2026-06-27,1958,Garelli,70,69,,437,380,1958 Garelli 70 69cc
